,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020
Country/Region,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark
Lat,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639,56.2639
Long,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018,9.5018
Province/State,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark
apparentTemperatureHigh,37.67,39.09,38.73,39.86,36.55,37.86,36.05,38.01,40.77,39.36
apparentTemperatureHighTime,1579699080,1579780380,1579878180,1579959060,1580031540,1580123460,1580208540,1580303340,1580391960,1580493600
apparentTemperatureLow,30.85,35.14,32.77,32.88,32.24,34.25,29.9,31.77,35.72,39.36
apparentTemperatureLowTime,1579745160,1579849200,1579914900,1580009940,1580061600,1580194800,1580274420,1580324580,1580416980,1580493600
apparentTemperatureMax,37.67,39.09,38.73,39.86,36.55,38.1,38.11,38.01,40.77,40.28
apparentTemperatureMaxTime,1579699080,1579780380,1579878180,1579959060,1580031540,1580162400,1580166000,1580303340,1580391960,1580508000
apparentTemperatureMin,31.57,30.85,34.96,32.77,31.9,33.02,33.05,29.9,32.17,35.47
apparentTemperatureMinTime,1579727460,1579745160,1579855380,1579914900,1580050380,1580107740,1580248800,1580274420,1580338800,1580461500
cloudCover,0.63,0.9,0.92,0.9,1,1,1,0.71,0.98,1
dewPoint,35.61,40.08,41.07,38.96,37.67,40.01,38.33,35.15,40.23,42.07
humidity,0.82,0.93,0.93,0.9,0.88,0.91,0.88,0.82,0.9,0.9
icon,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain,rain
moonPhase,0.93,0.97,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21
ozone,327.7,290.9,266.2,242,248.8,296.8,330.9,347.1,321.7,281.4
precipIntensity,0,0.0008,0.0007,0.0008,0.001,0.0098,0.0057,0.0016,0.0187,0.0038
precipIntensityMax,0.0002,0.0033,0.0028,0.0045,0.0014,0.0575,0.023,0.0106,0.1184,0.0518
precipIntensityMaxTime,1579647600,1579761960,1579877700,1579965480,1580007600,1580151660,1580202180,1580288400,1580418360,1580425200
precipProbability,0.04,0.25,0.32,0.27,0.51,0.86,0.8,0.54,0.88,0.85
precipType,,rain,rain,rain,rain,rain,rain,rain,rain,rain
pressure,1030.4,1027.2,1017.1,1015.5,1012.1,1001.5,986,991.8,994.6,994
summary,Partly cloudy throughout the day.,Overcast throughout the day.,Overcast throughout the day.,Mostly cloudy throughout the day.,Overcast throughout the day.,Light rain throughout the day.,Light rain in the morning and afternoon.,Possible light rain in the morning and overnight.,Rain throughout the day.,Possible drizzle throughout the day.
sunriseTime,1579678620,1579764960,1579851240,1579937520,1580023860,1580110140,1580196420,1580282760,1580369040,1580455320
sunsetTime,1579707120,1579793640,1579880160,1579966680,1580053200,1580139780,1580226300,1580312820,1580399340,1580485860
temperatureHigh,44.69,46,44.87,45.76,43.42,45.33,43.5,45.18,46.37,46.05
temperatureHighTime,1579690920,1579780500,1579878120,1579958220,1580032080,1580123280,1580208720,1580303400,1580392140,1580450400
temperatureLow,36.45,41.8,38.94,39.87,39.43,40.91,37.04,39.16,43.27,44.61
temperatureLowTime,1579726800,1579849200,1579933200,1580011380,1580061600,1580194800,1580279220,1580342100,1580407260,1580493600
temperatureMax,44.69,46,44.87,45.76,43.42,45.33,43.5,45.18,46.37,47.64
temperatureMaxTime,1579690920,1579780500,1579878120,1579958220,1580032080,1580123280,1580208720,1580303400,1580392140,1580508000
temperatureMin,36.45,36.79,41.36,38.92,39.38,40.03,40.42,37.04,39.16,42.78
temperatureMinTime,1579726800,1579743000,1579903200,1579938180,1580050800,1580087280,1580248800,1580279220,1580342100,1580481660
time,1579647600,1579734000,1579820400,1579906800,1579993200,1580079600,1580166000,1580252400,1580338800,1580425200
uvIndex,0,0,0,1,1,0,0,0,1,1
uvIndexTime,1579692900,1579779420,1579865760,1579952100,1580039280,1580124780,1580211360,1580297760,1580384400,1580470620
visibility,10,10,10,10,10,9.339,9.086,10,9.243,10
windBearing,302,252,258,245,217,196,183,256,236,257
windGust,36.45,29.38,27.76,27.16,26.15,28.95,25.96,33.72,40.21,40.67
windGustTime,1579672080,1579802760,1579834440,1579920300,1579999920,1580113500,1580248800,1580322540,1580421600,1580428620
windSpeed,12.26,12.53,12.65,10.68,13.3,12.98,12.62,14.45,14.02,17.15
